CCTV관리번호,경도,위도,설치위치명,설치위치주소
CCTV089,36.8684774,127.1967548,089. 송남교차로,천안시 서북구 성거읍 송남리 347-3
CCTV090,36.8417192,127.1261006,090. 레이크타운 3차 사거리,천안시 서북구 성성동 993
CCTV091,36.8436852,127.1380416,091. 파스쿠찌앞 교차로,천안시 서북구 성성동 807
CCTV092,36.8444805,127.1213203,092. 성성2교차로,천안시 서북구 성성동 520
CCTV093,36.7816226,127.170461,093. 취암산터널,천안시 동남구 삼룡동 126-6
CCTV094,36.79891,127.1646,094. 구성삼거리,천안시 동남구 구성동 50-16
CCTV095,36.7666,127.1664,095.도티리삼거리,천안시 동남구 목천읍 삼성리 212-1
CCTV096,36.76408,127.1396,096.서천안IC삼거리,천안시 동남구 구룡동 631-1
CCTV097,36.866536,127.194938,097.성거교차로,천안시 서북구 성거읍 송남리 218-84
CCTV098,36.721042,127.123286,098.풍서1교차로,천안시 동남구 풍세면 풍서리 436-12
CCTV099,36.787755,127.151041,099.청수초교사거리,천안시 동남구 청수동 244-9
CCTV100,36.766564,127.157913,100.용평사거리,천안시 동남구 구룡동 177-17
CCTV101,36.774612,127.774612,101.청당지하도동삼거리,천안시 동남구 구룡동 551-1
